beta,observation_percentage,noise_mode,noise_rate,trials,accuracy,mean_true_goal_rank,std_true_goal_rank,mean_true_goal_probability,std_true_goal_probability,mean_noisy_observation_length,mean_dropped_actions,mean_corrupted_actions,mean_inserted_actions,accuracy_ci95_low,accuracy_ci95_high,accuracy_ci95_half_width
10.0,0.5,corrupt,0.2,50,0.2,2.62,1.027976018143201,0.08834009189684609,0.13192763676798,5.82,3.04,1.84,0.0,0.08912565670994935,0.3108743432900507,0.11087434329005068
0.1,0.5,corrupt,0.3,50,0.3,2.52,1.182180620890126,0.13951947381063576,0.12516114423534455,6.12,2.74,2.66,0.0,0.17297748231120594,0.42702251768879407,0.12702251768879408
0.25,0.5,corrupt,0.3,50,0.3,2.52,1.182180620890126,0.1388782794036563,0.12582396269383855,6.12,2.74,2.66,0.0,0.17297748231120594,0.42702251768879407,0.12702251768879408
0.5,0.5,corrupt,0.3,50,0.3,2.52,1.182180620890126,0.13805243764914504,0.12944109597248565,6.12,2.74,2.66,0.0,0.17297748231120594,0.42702251768879407,0.12702251768879408
1.0,0.5,corrupt,0.3,50,0.3,2.52,1.182180620890126,0.13740540911919175,0.1446906728693658,6.12,2.74,2.66,0.0,0.17297748231120594,0.42702251768879407,0.12702251768879408
2.0,0.5,corrupt,0.3,50,0.3,2.52,1.182180620890126,0.13902164191323388,0.188780578551279,6.12,2.74,2.66,0.0,0.17297748231120594,0.42702251768879407,0.12702251768879408
5.0,0.5,corrupt,0.3,50,0.3,2.52,1.182180620890126,0.14299772707191263,0.2490072273879472,6.12,2.74,2.66,0.0,0.17297748231120594,0.42702251768879407,0.12702251768879408
10.0,0.5,corrupt,0.3,50,0.3,2.52,1.182180620890126,0.1433310132985501,0.2536481877271848,6.12,2.74,2.66,0.0,0.17297748231120594,0.42702251768879407,0.12702251768879408
0.1,0.5,missing,0.1,50,0.26,2.54,1.0730463976122242,0.12497502602495902,0.126269097050475,5.9,2.96,0.0,0.0,0.13841679063291676,0.38158320936708323,0.12158320936708324
0.25,0.5,missing,0.1,50,0.26,2.54,1.0730463976122242,0.12484476317678933,0.126270187848137,5.9,2.96,0.0,0.0,0.13841679063291676,0.38158320936708323,0.12158320936708324
0.5,0.5,missing,0.1,50,0.26,2.54,1.0730463976122242,0.12439101598856364,0.12628629972210426,5.9,2.96,0.0,0.0,0.13841679063291676,0.38158320936708323,0.12158320936708324
1.0,0.5,missing,0.1,50,0.26,2.54,1.0730463976122242,0.12274403576022114,0.12650533508346573,5.9,2.96,0.0,0.0,0.13841679063291676,0.38158320936708323,0.12158320936708324
2.0,0.5,missing,0.1,50,0.26,2.54,1.0730463976122242,0.11821602327446426,0.12838978006423993,5.9,2.96,0.0,0.0,0.13841679063291676,0.38158320936708323,0.12158320936708324
5.0,0.5,missing,0.1,50,0.26,2.54,1.0730463976122242,0.11213526368388786,0.13373849966028203,5.9,2.96,0.0,0.0,0.13841679063291676,0.38158320936708323,0.12158320936708324
10.0,0.5,missing,0.1,50,0.26,2.54,1.0730463976122242,0.11166989461761398,0.1342722434706681,5.9,2.96,0.0,0.0,0.13841679063291676,0.38158320936708323,0.12158320936708324
0.1,0.5,missing,0.2,50,0.26,2.54,1.0538558938004565,0.1399687825311988,0.12536048141601222,4.62,4.24,0.0,0.0,0.13841679063291676,0.38158320936708323,0.12158320936708324
0.25,0.5,missing,0.2,50,0.26,2.54,1.0538558938004565,0.13980595397098666,0.1253817040066655,4.62,4.24,0.0,0.0,0.13841679063291676,0.38158320936708323,0.12158320936708324
0.5,0.5,missing,0.2,50,0.26,2.54,1.0538558938004565,0.13923876998570456,0.12547075494948096,4.62,4.24,0.0,0.0,0.13841679063291676,0.38158320936708323,0.12158320936708324
1.0,0.5,missing,0.2,50,0.26,2.54,1.0538558938004565,0.1371800447002764,0.12599063777180666,4.62,4.24,0.0,0.0,0.13841679063291676,0.38158320936708323,0.12158320936708324
2.0,0.5,missing,0.2,50,0.26,2.54,1.0538558938004565,0.13152002909308033,0.12897392667388646,4.62,4.24,0.0,0.0,0.13841679063291676,0.38158320936708323,0.12158320936708324
5.0,0.5,missing,0.2,50,0.26,2.54,1.0538558938004565,0.12391907960485982,0.13631368243514036,4.62,4.24,0.0,0.0,0.13841679063291676,0.38158320936708323,0.12158320936708324
10.0,0.5,missing,0.2,50,0.26,2.54,1.0538558938004565,0.12333736827201747,0.1370188003514698,4.62,4.24,0.0,0.0,0.13841679063291676,0.38158320936708323,0.12158320936708324
0.1,0.5,missing,0.3,50,0.26,2.48,0.9946797248873834,0.14545619120805944,0.12507702013284772,3.66,5.2,0.0,0.0,0.13841679063291676,0.38158320936708323,0.12158320936708324
0.25,0.5,missing,0.3,50,0.26,2.48,0.9946797248873834,0.14597669161833524,0.12574339026807266,3.66,5.2,0.0,0.0,0.13841679063291676,0.38158320936708323,0.12158320936708324
