beta,observation_percentage,noise_mode,noise_rate,trials,accuracy,mean_true_goal_rank,std_true_goal_rank,mean_true_goal_probability,std_true_goal_probability,mean_noisy_observation_length,mean_dropped_actions,mean_corrupted_actions,mean_inserted_actions,accuracy_ci95_low,accuracy_ci95_high,accuracy_ci95_half_width
0.25,0.25,missing,0.1,50,0.64,1.68,1.2847615517666924,0.21881961522614668,0.01945427793516936,0.88,0.12,0.0,0.0,0.5069507880519393,0.7730492119480608,0.13304921194806074
0.5,0.25,missing,0.1,50,0.64,1.68,1.2847615517666924,0.2734914292969648,0.03984815202151314,0.88,0.12,0.0,0.0,0.5069507880519393,0.7730492119480608,0.13304921194806074
1.0,0.25,missing,0.1,50,0.64,1.68,1.2847615517666924,0.36627385855110334,0.07445818301816128,0.88,0.12,0.0,0.0,0.5069507880519393,0.7730492119480608,0.13304921194806074
2.0,0.25,missing,0.1,50,0.64,1.68,1.2847615517666924,0.4444517886276377,0.10362039190785745,0.88,0.12,0.0,0.0,0.5069507880519393,0.7730492119480608,0.13304921194806074
5.0,0.25,missing,0.1,50,0.64,1.68,1.2847615517666924,0.45996005168911,0.10940533922575484,0.88,0.12,0.0,0.0,0.5069507880519393,0.7730492119480608,0.13304921194806074
10.0,0.25,missing,0.1,50,0.64,1.68,1.2847615517666924,0.45999999818618487,0.10942024020984287,0.88,0.12,0.0,0.0,0.5069507880519393,0.7730492119480608,0.13304921194806074
0.1,0.25,missing,0.2,50,0.58,1.74,1.274714854068812,0.185910696966142,0.00848405240566011,0.84,0.16,0.0,0.0,0.44319256160573717,0.7168074383942628,0.1368074383942628
0.25,0.25,missing,0.2,50,0.58,1.74,1.274714854068812,0.21644902665526122,0.02194738547216842,0.84,0.16,0.0,0.0,0.44319256160573717,0.7168074383942628,0.1368074383942628
0.5,0.25,missing,0.2,50,0.58,1.74,1.274714854068812,0.2686357582683149,0.04495477836207353,0.84,0.16,0.0,0.0,0.44319256160573717,0.7168074383942628,0.1368074383942628
1.0,0.25,missing,0.2,50,0.58,1.74,1.274714854068812,0.35720080437453805,0.08400015922989455,0.84,0.16,0.0,0.0,0.44319256160573717,0.7168074383942628,0.1368074383942628
2.0,0.25,missing,0.2,50,0.58,1.74,1.274714854068812,0.4318251921748662,0.1168995678769257,0.84,0.16,0.0,0.0,0.44319256160573717,0.7168074383942628,0.1368074383942628
5.0,0.25,missing,0.2,50,0.58,1.74,1.274714854068812,0.44662853418808984,0.12342586862913991,0.84,0.16,0.0,0.0,0.44319256160573717,0.7168074383942628,0.1368074383942628
10.0,0.25,missing,0.2,50,0.58,1.74,1.274714854068812,0.44666666493529766,0.12344267920637059,0.84,0.16,0.0,0.0,0.44319256160573717,0.7168074383942628,0.1368074383942628
0.1,0.25,missing,0.3,50,0.58,1.74,1.242282297274838,0.18407793217571572,0.00988362194750832,0.76,0.24,0.0,0.0,0.44319256160573717,0.7168074383942628,0.1368074383942628
0.25,0.25,missing,0.3,50,0.58,1.74,1.242282297274838,0.2117078495134903,0.025567930320471825,0.76,0.24,0.0,0.0,0.44319256160573717,0.7168074383942628,0.1368074383942628
0.5,0.25,missing,0.3,50,0.58,1.74,1.242282297274838,0.25892441621101503,0.05237073191206812,0.76,0.24,0.0,0.0,0.44319256160573717,0.7168074383942628,0.1368074383942628
1.0,0.25,missing,0.3,50,0.58,1.74,1.242282297274838,0.3390546960214074,0.09785722407901404,0.76,0.24,0.0,0.0,0.44319256160573717,0.7168074383942628,0.1368074383942628
2.0,0.25,missing,0.3,50,0.58,1.74,1.242282297274838,0.4065719992693234,0.13618387528485867,0.76,0.24,0.0,0.0,0.44319256160573717,0.7168074383942628,0.1368074383942628
5.0,0.25,missing,0.3,50,0.58,1.74,1.242282297274838,0.41996549918604953,0.14378678557659513,0.76,0.24,0.0,0.0,0.44319256160573717,0.7168074383942628,0.1368074383942628
10.0,0.25,missing,0.3,50,0.58,1.74,1.242282297274838,0.41999999843352326,0.14380636930641227,0.76,0.24,0.0,0.0,0.44319256160573717,0.7168074383942628,0.1368074383942628
0.1,0.25,mixed,0.1,50,0.54,1.88,1.3192453006417364,0.18224516738528954,0.012193080442072146,0.8,0.26,0.02,0.06,0.40185128013622423,0.6781487198637759,0.13814871986377583
0.25,0.25,mixed,0.1,50,0.54,1.88,1.3192453006417364,0.2069666723717194,0.03154226586068498,0.8,0.26,0.02,0.06,0.40185128013622423,0.6781487198637759,0.13814871986377583
0.5,0.25,mixed,0.1,50,0.54,1.88,1.3192453006417364,0.2492130741537152,0.06460794943447061,0.8,0.26,0.02,0.06,0.40185128013622423,0.6781487198637759,0.13814871986377583
1.0,0.25,mixed,0.1,50,0.54,1.88,1.3192453006417364,0.3209085876682768,0.12072305187007895,0.8,0.26,0.02,0.06,0.40185128013622423,0.6781487198637759,0.13814871986377583
2.0,0.25,mixed,0.1,50,0.54,1.88,1.3192453006417364,0.3813188063637806,0.16800530767772015,0.8,0.26,0.02,0.06,0.40185128013622423,0.6781487198637759,0.13814871986377583
5.0,0.25,mixed,0.1,50,0.54,1.88,1.3192453006417364,0.39330246418400927,0.17738475351987637,0.8,0.26,0.02,0.06,0.40185128013622423,0.6781487198637759,0.13814871986377583
10.0,0.25,mixed,0.1,50,0.54,1.88,1.3192453006417364,0.39333333193174885,0.177408913285829,0.8,0.26,0.02,0.06,0.40185128013622423,0.6781487198637759,0.13814871986377583
